id,tweet
1340478274909040640,"When it comes to the existential threat of climate change, we have no time to lose. This team will be ready on day one to meet this moment with the urgency it demands and build our nation back better than ever."
1340460406888796160,"Together, we’re going to tackle the threat of climate change head-on and create millions of good-paying, union jobs."
1340427943051284480,"On day one, my administration will rejoin the Paris Agreement and put America back in the business of leading the world on climate change."
1340379335975268352,We need to meet the threat of climate change with the urgency it demands — and seize the opportunity to build back better. Tune in as I introduce members of my climate team who will get it done.
1340326524994633729,"Folks, there are less than three weeks until the Georgia Senate runoffs and we need to ensure @ossoff and @ReverendWarnock have the resources to win. If you’re able to, chip in to our Flip Georgia Fund to help take back the Senate."
1339759790717734913,Let me be clear: The United States of America has always set an example for the world for the peaceful transition of power — and we will do so again.
1339745949237665792,"We have no time to waste to confront the climate crisis, protect our air and water, and deliver justice to communities that have long shouldered the burdens of environmental harms. Together, on behalf of all Americans, this team will meet this moment with the urgency it demands."
1339712981916033025,"I always know malarkey when I see it, and I’m looking forward to joining @StephenAtHome tonight. Make sure to tune in to CBS at 11:35 ET to watch."
1339685802956255242,"I’m prepared to sign a COVID relief package on day one, but I need @ReverendWarnock and @ossoff in the Senate to get it done. Georgia — Make your plan to vote early today:"
1339636981345755137,"Millions of people are out of work. Small businesses are closing. People are struggling to pay their bills, stay in their homes, and put food on the table. Congress needs to pass a relief package immediately."
1339582371557883906,"When I think of climate change, I think about jobs. Good-paying, union jobs that put Americans to work, make our air cleaner, and rebuild America’s crumbling infrastructure."
1339382302992781317,"In this battle for the soul of America, democracy prevailed."
1339362422046543880,.@KamalaHarris and I are building a historic Cabinet. A Cabinet that looks like America and taps into the best of this nation.
1339314103714607104,.@PeteButtigieg has the perspective of a mayor that solves problems and brings people together. He’s got the vision of a next-generation leader with the experience and temperament to help dig us out of this economic crisis.
1339297242633490433,"As tough as this moment is in the country, as dark as these days of winter seem, I am still more optimistic about the future of this country than I have been my whole career. There is nothing beyond America’s capacity if we work together."
1339254199326887937,Mayor @PeteButtigieg is a barrier-breaking public servant with a track record of forward-thinking leadership. Tune in as I nominate him to be our next Secretary of Transportation.
1339062696998662145,"With @ossoff and @ReverendWarnock in the Senate, the doors of promise and progress will open in Washington."
1339049107403501569,From the economy to criminal justice to climate change — there’s so much we can get done. But we need senators who are willing to do it.
1339006577416736768,"Mayor @PeteButtigieg is a leader, patriot, and problem-solver. He speaks to the best of who we are as a nation. I am nominating him for Secretary of Transportation because he's equipped to take on the challenges at the intersection of jobs, infrastructure, equity, and climate."
1338959519162970112,"The future of health care, the economy, and the planet are all on the line. We’ve got to win Georgia and flip the Senate."
1338938238380040192,"With early voting underway and just three weeks until Election Day, I’m in Atlanta to encourage folks to get out and vote. Tune in."
1338916735479496704,"I’m looking forward to being back in Georgia this afternoon to rally voters ahead of the Senate runoffs. See you soon, Atlanta!"
1338910444233363458,"Health care is personal to me — and I’ll always fight to ensure folks like Xiomara are protected and have access to the care they need. Don’t miss your chance to get covered for 2021, head to before midnight to pick a plan that works best for you."
1338875463452733441,As I said throughout the campaign: I will be a president for all Americans. I will work just as hard for those of you who didn’t vote for me as I will for those who did.
1338704084283445248,"Today, the members of the Electoral College cast their votes for president and vice president. And once again, the rule of law, our Constitution, and the will of the people have prevailed. Our democracy—pushed, tested, and threatened—proved to be resilient, true, and strong."
1338687727492075520,What beats deep in the hearts of the American people is this: Democracy.
1338678163329576961,"In America, politicians don’t take power — the people grant it to them. The flame of democracy was lit in this nation a long time ago. And we now know that nothing — not even a pandemic or an abuse of power — can extinguish that flame."
1338642204810596354,"It’s official, folks. Tune in as I deliver remarks on today’s electoral college vote certification and the strength and resilience of our democracy."
1338627329485012993,"I’m forever humbled by the fact that 5.7 million people chipped in to power our campaign to victory. And to thank everyone, we’re hosting a Grassroots Donor Thank You call tonight. Head to to join us."
1338604682642661387,"Folks, tomorrow is the last day of open enrollment for 2021 coverage. Head to today to find the health insurance plan that works best for you."
1338575269376954375,"Georgia — in-person early voting starts today. Head to to find all the information you need to make your voice heard. Wear a mask, practice social distancing, and help flip the Senate."
1338544657391898626,"There have been plenty of thoughts and prayers in the years since, but we know that is not enough. Together, with millions of our fellow Americans, we will fight to end this scourge on our society and enact common-sense reforms that will save countless lives."
1338544656297168900,I think about how that day eight years ago was the saddest day we had in the White House. Twenty first-graders. Their six educators. And I think about the time we have spent with each other grieving since then. I remain in awe as so many of you turned pain into purpose.
1338544654741106693,"To the families, loved ones, and broken and healing hearts of Sandy Hook, I know. No matter how long it’s been, every time you talk about it, you relive it as though you just heard the news. Eight years later, I know the pain never fully heals."
1338527168419098625,Stay hopeful — brighter days lie ahead.
1338285576328531970,Science will always be at the forefront of my administration.
1338246066144079873,"Grassroots donors were the backbone of my campaign. And to thank you for everything you did to win this battle for the soul of the nation, I’ll be holding a Grassroots Donor Thank You call tomorrow night. I hope you’ll join us. Head to to RSVP today."
1338215867394437129,"We’re in the teeth of the COVID-19 crisis right now, and this nation needs presidential leadership. Leadership that is willing to model the steps we all should be taking in our own lives."
1338187429711253504,"For your family, neighbors, and country — wear a mask."
1338152952968728579,"We may be physically apart during these difficult times, but you’re not alone. Take a few minutes today to reach out to friends and family. We’ll get through this, together."
1337925206887837697,Congress needs to act now on a COVID relief package. The American people can’t wait.
1337895008029069312,"Wear a mask. It's the easiest thing you can do to reduce COVID cases, hospitalizations, and deaths. It's not a political statement — it's a patriotic act."
1337872354844807176,"My first 100 days won’t end COVID-19, but we can slow the spread, save lives, and get back to our lives with our loved ones."
1337850207933968389,"Under a Biden-Harris Administration, we will rejoin the Paris Agreement on day one and lead the world in the fight against climate change."
1337810697481191426,"Five years ago today, the world gathered to adopt the Paris Agreement on climate change. And in 39 days, the United States is going to rejoin it. We’re going to rally the world to push our progress further and faster and tackle the climate crisis head-on."
1337777981830402058,"This team will meet the unique and challenging moment we’re facing as a nation. They bring deep experience, bold new thinking, and they know how government can — and should — work. Together, we’re going to build back better for all Americans."
1337564324022239233,"There are just a few days left of Obamacare's open enrollment for 2021 coverage. Don't wait — visit today to find an affordable, quality plan that works for you."
1337526826747367426,"Beating COVID-19 will take everyone doing their part. Wear a mask. Social distance. Limit travel over the holidays. We can end this, together."
1337485853673734145,"From Housing and Urban Development to Veterans Affairs — this team is where the rubber meets the road, and they’re ready to help the American people build back better. Tune in as I introduce them."
1337447554804400128,"It’s time to get back to a government of the people, for the people, by the people. That’s how we can move forward and solve the biggest challenges we face. There is no group of individuals I trust more to stand up for Americans."
1337425156898246662,"I’m honored to be Person of the Year with @KamalaHarris and grateful to be on this list with so many extraordinary folks. From front line workers to racial justice organizers, Americans met this year with strength, fortitude, and an unflinching belief in a brighter tomorrow."
1337246228028022785,"Yesterday marked another tragic, preventable milestone in our fight against COVID-19, but this news is a bright light. I’m grateful for every scientist, researcher, and public health expert who made it possible."
1337198412727529472,"Folks, we just added new items to the @BidenInaugural store that I know you won’t want to miss. Head to to stock up today."
1337151353039314944,"As Hanukkah begins, Jill and I send our warmest wishes to everyone celebrating in the United States and around the world. We know things look a little different this year, but we hope these next eight nights are filled with family, love, and light. Chag Sameach!"
1337143047990099969,We must prepare to meet the challenges of the future — not keep fighting the wars of the past.
1337117882367442944,"The Georgia Senate runoffs are crucial — it’s why I’ll be traveling there next Tuesday. But we all need to do our part to make sure we win these races. If you’re able, chip in to our new Flip Georgia Fund to help us take back the Senate."
1337092213063385088,"This group will do critical work on behalf of every American. Their jobs are where rubber meets the road — where governance can make a meaningful difference in people’s lives, advancing prosperity for all Americans."
1337041882879127552,"As the United States works to advance human rights around the world, we must also recognize that our task begins here at home. My administration is committed to ensuring every person is free to flourish in a society that values and defends equal justice for all. #HumanRightsDay"
1336853141418110983,"I have worked closely with Secretary-designate Lloyd Austin. He is the definition of duty, honor, and country. I know that under his leadership, the Department of Defense will advance the security of the American people in ways that always honor our highest values and ideals."
1336831747120656384,"Secretary-designate Lloyd Austin is feared by our adversaries, respected by our allies, and beloved by the men and women of America’s armed forces. I am honored to nominate him as the 28th Secretary of Defense."
1336770593987899394,This pandemic is one of the toughest challenges America has ever faced. But I know that together we will overcome — and heal — as one nation.
1336742970435891200,"Throughout his lifetime of dedicated service, General Austin has demonstrated exemplary leadership, character, and command. Tune in as I introduce my nominee for Secretary of Defense."
1336732845402857473,"This health team is made up of world-class experts at the top of their fields who are ready on day one to get the pandemic under control so we can get back to work, back to our lives, and back to our loved ones."
1336686791760502785,"On day one, I’ll sign an executive order to require masks everywhere I can."
1336495783038701568,"Out of our collective pain, we will find our collective purpose: to control the pandemic, to save lives, and to heal as a nation."
1336480683561140224,"Dr. Fauci is trusted, a truth teller, and a patriot. I’m grateful he’ll be a key member of my COVID team as we work to get this virus under control."
1336456776162529280,"Today, I'm announcing key COVID-19 priorities for the first 100 days of my administration: - Everyone wears a mask - 100 million vaccinations - Reopen the majority of schools With these steps, we can change the course of the disease and change life in America for the better."
1336427835339272203,"I know General Austin. I trust him. Because I know how he reacts under pressure. When ISIS emerged as a terrorist threat, President Obama and I turned to General Austin in the Situation Room and he led us through. Now, I turn to him again as Secretary of Defense."
1336413742792323077,"In the many hours we've spent together in the Situation Room and with our troops—I've witnessed General Austin's character. He shares my belief that we are strongest when we lead not only by the example of our power, but by the power of our example."
1336383784128708609,"I need a team that’s ready on day one to contain the pandemic and ensure everyone has access to quality, affordable health care. This is that team. Tune in as I introduce them for the first time."
1336352841338851356,"Chuck Yeager redefined the possible. Where others saw limits, he saw opportunity and never stopped pushing the boundaries of flight. Above all, he was a patriot who dedicated his life to serving our nation. Jill and I are keeping his loved ones in our prayers."
1336308549262200832,There has never been anyone more qualified to be Treasury Secretary than Janet Yellen. Period. I trust her knowledge and look forward to working with her to build our economy back better.
1336128110203449345,"Paul Sarbanes and I served together on the Foreign Relations Committee for 30 years. There was no one sharper, more committed, or with firmer principles. And he, too, returned to his family nearly every night. They meant the world to him. Rest In Peace, Paul."
1336054123163234304,"Today, we remember those we lost at Pearl Harbor 79 years ago — and we salute those who answered duty’s call with strength and courage. Our nation owes an incredible debt to those who have served and must ensure they and their families receive the care they’ve earned."
1336003791183818753,"Dr. Fauci isn't just one of our foremost experts on combating viruses—he is a good man and a tireless public servant. He has served six presidents and led us through some of our toughest challenges. Our administration, and our country, will be stronger because of his guidance."
1335989451584118790,"Georgia — Today is your last day to register to vote in the January runoff. Head to to get registered, and let’s flip the Senate."
1335964029299224578,"This team of world-class medical experts and public servants will be ready on day one to implement a full government response to this crisis. Together, we'll overcome our toughest challenges and make health care a right for all Americans."
1335758425284874240,I promise you this: I will spare no effort — or commitment — to end this pandemic.
1335690479351042057,"The dreams of too many Americans have been deferred for too long. We must make the promise of this nation real for everybody — no matter their race, identity, ethnicity, or faith."
1335619257376247811,"With COVID-19 cases rising across the nation, we need to ramp up our production of personal protective equipment. We have to ensure our brave health care workers have everything they need to safely battle this virus."
1335392513364922370,"I know times are tough, the challenges are daunting, but I know we can do this. We can create an economic recovery for all. We can move from crisis to recovery to resurgence. This is the United States of America. We’ve done it before — and we will do it again."
1335346208106291206,"My dad used to say, “Joey, I don’t expect the government to solve my problems. But I expect it to understand my problems.” Folks out there aren’t looking for a handout — they just need help. They’re in trouble through no fault of their own, and they need us to understand."
1335291598666563584,If Congress and President Trump fail to act by the end of December: - 12 million Americans will lose unemployment benefits - Emergency paid leave will end - The moratorium on evictions will expire The situation is urgent. Americans need help and they need it now.
1335234975411499008,"Our country is in the middle of a dramatic spike in COVID-19 cases. Please wear a mask, keep social distancing, and limit the size of any groups. It’s our patriotic duty as Americans."
1335033648639213569,"With less than 50 days until Inauguration Day, now is the perfect time to stock up on gear to celebrate. Head to to find everything you need."
1335014774472663043,"On the day I’m inaugurated, I’ll call on the public to wear a mask for 100 days. Let’s keep our fellow Americans safe and save lives."
1334990866860019712,"To everyone who is struggling, I promise you help is on the way."
1334966707769798659,"I nominated @neeratanden to lead OMB because she's a brilliant policy mind with experience across government. She will help us control the virus, deal with the economic crisis, and build back better. And above all she believes what I believe: a budget should reflect our values."
1334955427579084800,Tune in as I deliver remarks on the final jobs report of 2020 and the state of our economy.
1334917885978882050,"As soon as Dr. Fauci declares we have a safe vaccine, I’ll take it."
1334860256585928710,"Georgia — Our work isn’t over yet. Register to vote by December 7th, and let’s flip the Senate:"
1334673525655830528,It’s time we reward hard work in America — not just wealth.
1334647856645500929,"On this International Day of People with Disabilities and every day of the Biden-Harris administration, we'll be fully committed to dignity, equity, and civil rights for all people with disabilities. They'll always have a voice and be at the table for the critical work ahead."
1334573366410264577,"Once a vaccine is ready and approved, @KamalaHarris and I are going to ensure it’s distributed equitably, efficiently, and free of charge to every American."
1334530332167729154,"Yesterday, I spent the afternoon hearing from workers and small business owners on the economic impact COVID-19 has had on their lives. Americans are hurting — it’s why as president, I’ll work to provide immediate relief and get our economy back on track."
1334305098453815298,With this team — and others who we'll add in the weeks ahead — we'll create a recovery for all and get this economy moving again.
1334269865947893760,"Let us begin the work to heal, unite, and rebuild an economy for all Americans."
1334234952058068993,We’re facing the worst economic crisis since the Great Depression — and Americans need immediate relief. Tune in for a discussion with workers and small business owners on how we move forward.
1334213746013708293,"Congratulations to the newest United States Senator @SenMarkKelly. I know he’ll serve the people of Arizona well, and I look forward to working together to build this country back better."
1334156871393968134,"From the most unequal economic and jobs crisis in modern history, we can build a new American economy that works for everyone. But we need to act now — and we have to work together."
1333960074650218496,"Today, I was proud to announce key nominations and appointments for critical economic positions in the Biden-Harris administration. A first-rate team that will get us through the economic crisis and help build our economy back better than before."
1333915027821240323,"This World AIDS Day, Jill and I join with communities around the globe to remember those we've lost. Because of the hard work of advocates, activists, and frontline workers, an AIDS-free generation is within reach — and my administration will work tirelessly to make it a reality."
1333879041074417664,50 days until we make history and can call @KamalaHarris Madam Vice President.
1333856391841386498,My message to everyone struggling right now is this: Help is on the way.
1333833357004664832,We need to deliver immediate relief for the American people and build our economy back better than ever. Tune in as I introduce key members of my economic team for the first time.
1333602971582664704,.@TTDAFLCIO President Larry Willis was a relentless champion for working families. Jill and I are keeping his loved ones in our prayers.
1333586614065369089,"Jill and I send our best wishes to everyone celebrating the Hmong New Year. Things look a little different this year, but we hope your festivities are safe and joyous as you mark the possibilities of new beginnings. Nyob Zoo Xyoo Tshiab!"
