id,tweet
1340529063799246848,GREATEST ELECTION FRAUD IN THE HISTORY OF OUR COUNTRY!!!
1340527057151930369,"Why isn’t Congress giving our people a Stimulus Bill? It wasn’t their fault, it was the fault of China. GET IT DONE, and give them more money in direct payments."
1340523944680583169,Martial law = Fake News. Just more knowingly bad reporting!
1340523358551732233,"What would Bolton, one of the dumbest people in Washington, know? Wasn’t he the person who so stupidly said, on television, “Libyan solution”, when describing what the U.S. was going to do for North Korea? I’ve got plenty of other Bolton “stupid stories”."
1340520653653458949,"As badly as we were treated in Georgia by the “Republican” Governor and “Republican” Secretary of State, we must have a massive victory for two great people, @KLoeffler & @sendavidperdue, on January 5th. I will be having a big Rally for them on Monday night, January 4th. WIN!"
1340466552420896769,Watch @RealPNavarro NOW on the Election Fraud. @JesseBWatters @FoxNews
1340386251866828802,The lie of the year is that Joe Biden won! Christina Bobb @OANN
1340377186847625218,We don’t want to have lockdowns. The cure cannot be worse than the problem itself!
1340376176695631872,"The entire WORLD is being badly hurt by the China Virus, but if you listen to the Fake News Lamestream Media, and Big Tech, you would think that we are the only one. No, but we are the Country that developed vaccines, and years ahead of schedule!"
1340373798617559040,Very happy to have helped get @WreathsAcross America so beautifully open and operating today. Congratulations to all of those who have worked so hard for this great success!
1340333619299147781,"....discussing the possibility that it may be China (it may!). There could also have been a hit on our ridiculous voting machines during the election, which is now obvious that I won big, making it an even more corrupted embarrassment for the USA. @DNI_Ratcliffe @SecPompeo"
1340333618691002368,"The Cyber Hack is far greater in the Fake News Media than in actuality. I have been fully briefed and everything is well under control. Russia, Russia, Russia is the priority chant when anything happens because Lamestream is, for mostly financial reasons, petrified of...."
1340306154031857665,"He didn’t win the Election. He lost all 6 Swing States, by a lot. They then dumped hundreds of thousands of votes in each one, and got caught. Now Republican politicians have to fight so that their great victory is not stolen. Don’t be weak fools!"
1340300394640117762,One of the Trump Administration’s great achievements into the future will be the authorization and start up of the SPACE FORCE. 75 years since Air Force. Congratulations to all!
1340185773220515840,"Peter Navarro releases 36-page report alleging election fraud 'more than sufficient' to swing victory to Trump A great report by Peter. Statistically impossible to have lost the 2020 Election. Big protest in D.C. on January 6th. Be there, will be wild!"
1340096386113687554,"Congratulations, the Moderna vaccine is now available!"
1339971240157736960,THANK YOU to the GREAT men and women of @FedEx and @UPS for driving through the storms this week to deliver millions of doses of the vaccine across the country. Two Great American Companies!
1339953001847525379,"The Secretary of State and Governor of Georgia, both so-called “Republicans”, aren’t allowing Fulton County to go through the vital Voter Signature Verification process. Also, they are not allowing Republican “watchers” to be present and verify! @BrianKempGA"
1339938332223139840,"Governor @BrianKempGA of Georgia still has not called a Special Session. So easy to do, why is he not doing it? It will give us the State. MUST ACT NOW!"
1339937549209522178,"Oh, they do this to me every day. When will they apologize?"
1339937091707351046,".@senatemajldr and Republican Senators have to get tougher, or you won’t have a Republican Party anymore. We won the Presidential Election, by a lot. FIGHT FOR IT. Don’t let them take it away!"
1339929663804747778,"Well, at least she was happy when I pardoned Scooter Libby. We got a GREAT new Senator from her state, not Liz!"
1339918065543352321,The Russia Hoax becomes an even bigger lie!
1339914253596319744,"Europe and other parts of the World being hit hard by the China Virus - Germany, France, Spain and Italy, in particular. The vaccines are on their way!!!"
1339912692736405507,Moderna vaccine overwhelmingly approved. Distribution to start immediately.
1339770665168228354,"I am very disappointed in the United States Supreme Court, and so is our great country!"
1339768443042738176,"New Peter Strzok Texts Undermine Official Narrative on Start of ‘Russia Collusion‘ Investigation via @BreitbartNews. Check out last in his class John McCain, one of the most overrated people in D.C."
1339759289234317312,We won Wisconsin big. They rigged the vote!
1339758142381551629,Tommy will be more popular than ever before - a hero!
1339748940380577792,"That’s because he is a great champion and man of courage. More Republican Senators should follow his lead. We had a landslide victory, and then it was swindled away from the Republican Party - but we caught them. Do something!"
1339709639584337920,Democrats would never put up with a Presidential Election stolen by the Republicans!
1339597489926590465,Just released data shows many thousands of noncitizens voted in Nevada. They are totally ineligible to vote!
1339594787133919239,"I will Veto the Defense Bill, which will make China very unhappy. They love it. Must have Section 230 termination, protect our National Monuments and allow for removal of military from far away, and very unappreciative, lands. Thank you!"
1339585047481917441,"I have NOTHING to do with the potential prosecution of Hunter Biden, or the Biden family. It is just more Fake News. Actually, I find it very sad to watch!"
1339584378154885124,"All-time Stock Market high. The Vaccine and the Vaccine rollout are getting the best of reviews. Moving along really well. Get those “shots” everyone! Also, stimulus talks looking very good."
1339453818996727809,“Michigan fraud witness totally debunks Dominion CEO.” @OANN It was brutal!
1339281950490697729,"Chris Krebs was totally excoriated and proven wrong at the Senate Hearing on the Fraudulent 2020 Election. Massive FRAUD took place with machines, people voting from out of state, illegals, dead people, no signatures—and so much more!"
1339277405458997249,Former United States Solicitor General Ken Starr: Pennsylvania “Flagrantly Violated” Laws Ahead of Election.
1339275859841134594,"Senate Hearings going on LIVE @OANN, as to the Fraudulent 2020 Election that just took place. @SenRonJohnson doing an excellent job. Nevada must be flipped based on testimony!"
1339225465584840704,"Perhaps the biggest difference between 2016 and 2020 is @FoxNews, despite the fact that I went from 63,000,000 Votes to 75,000,000 Votes, a record 12,000,000 Vote increase. Obama went down 3,000,000 Votes, and won. Rigged Election!!!"
1339198867275980802,"Can’t believe how badly @FoxNews is doing in the ratings. They played right into the hands of the Radical Left Democrats, & now are floating in limboland. Hiring fired @donnabraziIe, and far worse, allowing endless negative and unedited commercials. @FoxNews is dead. Really Sad!"
1339186712535298053,So ridiculous and unfair. Will people never make a stand!
1339090279429775363,"“Study: Dominion Machines shifted 2-3% of Trump Votes to Biden. Far more votes than needed to sway election.” Florida, Ohio, Texas and many other states were won by even greater margins than projected. Did just as well with Swing States, but bad things happened. @OANN"
1339083004216532993,"Trump's allies slam Mitch McConnell for congratulating Biden via @MailOnline. Mitch, 75,000,000 VOTES, a record for a sitting President (by a lot). Too soon to give up. Republican Party must finally learn to fight. People are angry!"
1339071350900723713,Poll: 92% of Republican Voters think the election was rigged!
1339061769441075205,Franklin Graham: ‘I Am Grateful to God’ for ‘the Last Four Years’ via @BreitbartNews Thank you Franklin!
1339013823282499584,Because of corruption or because I won despite corruption?
